,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion
0,1,akwa ibom,abat,nigeria,4,0,1.838654293495596,,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
1,2,akwa ibom,abat,nigeria,8,0,1.095312227737208,,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
2,3,akwa ibom,abat,nigeria,7,0,1.1065853863248822,,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
3,4,akwa ibom,abat,nigeria,4,0,1.3078430573145745,,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
4,5,akwa ibom,abat,nigeria,3,0,1.2454556329906392,,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
5,6,akwa ibom,abat,nigeria,5,1,1.714814924946738,1.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
6,7,akwa ibom,abat,nigeria,7,2,1.0276732762111631,1.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
7,8,akwa ibom,abat,nigeria,6,1,1.1404048620879048,1.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
8,9,akwa ibom,abat,nigeria,4,1,1.1404048620879048,1.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
9,10,akwa ibom,abat,nigeria,5,1,1.110343105854107,0.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
10,11,akwa ibom,abat,nigeria,5,1,-1.215386747668737,1.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
11,12,akwa ibom,abat,nigeria,7,1,1.6922686077713895,0.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
12,13,akwa ibom,abat,nigeria,5,3,1.6944919194682004,1.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
13,14,akwa ibom,abat,nigeria,7,1,1.6922686077713895,1.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
14,15,akwa ibom,abat,nigeria,5,1,1.8529115878247309,0.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
15,16,akwa ibom,abat,nigeria,3,4,1.1404048620879048,1.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
16,17,akwa ibom,abat,nigeria,3,4,0.4836785554183943,0.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
17,18,akwa ibom,abat,nigeria,8,4,0.7636151364443138,1.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
18,19,akwa ibom,abat,nigeria,4,1,2.2978970967031653,1.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
19,20,akwa ibom,abat,nigeria,4,1,1.149423388958044,1.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
20,21,akwa ibom,abat,nigeria,6,1,0.8944781949198628,1.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
21,22,akwa ibom,abat,nigeria,8,1,0.7135122093879838,1.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
22,23,akwa ibom,abat,nigeria,6,2,0.3087754074636634,0.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
23,24,akwa ibom,abat,nigeria,6,1,1.6043066507668071,1.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
24,25,akwa ibom,abat,nigeria,5,2,1.771724527254253,1.0,4.61631,7.86679,4.6,7.85,-0.8992180228233337,-0.9283530116081238,1.5,0.3333333333333333,-1.3723945617675781,-0.33333333333333326
25,26,niger,abdullahi,nigeria,20,6,-0.0245441578289788,1.0,9.080227094,6.01051127,9.1,6.0,-1.4881306767463685,-1.490860378742218,1.2,1.0,-1.791692841053009,-0.6666666666666667
26,27,niger,abdullahi,nigeria,4,0,1.5250309380377107,,9.080227094,6.01051127,9.1,6.0,-1.4881306767463685,-1.490860378742218,1.2,1.0,-1.791692841053009,-0.6666666666666667
27,28,niger,abdullahi,nigeria,11,0,2.4378990678036274,,9.080227094,6.01051127,9.1,6.0,-1.4881306767463685,-1.490860378742218,1.2,1.0,-1.791692841053009,-0.6666666666666667
28,29,niger,abdullahi,nigeria,13,2,2.2861874921614675,0.0,9.080227094,6.01051127,9.1,6.0,-1.4881306767463685,-1.490860378742218,1.2,1.0,-1.791692841053009,-0.6666666666666667
29,30,niger,abdullahi,nigeria,5,1,1.07276591056186,0.0,9.080227094,6.01051127,9.1,6.0,-1.4881306767463685,-1.490860378742218,1.2,1.0,-1.791692841053009,-0.6666666666666667
30,31,niger,abdullahi,nigeria,6,0,0.2754794793292106,,9.080227094,6.01051127,9.1,6.0,-1.4881306767463685,-1.490860378742218,1.2,1.0,-1.791692841053009,-0.6666666666666667
31,32,niger,abdullahi,nigeria,5,0,-0.5305760683261683,,9.080227094,6.01051127,9.1,6.0,-1.4881306767463685,-1.490860378742218,1.2,1.0,-1.791692841053009,-0.6666666666666667
